,Roots,Analyzability, Consonants, Vowels,Ratio,Syllables,Tone,Stress system,Stress alignment, Rhythm,Fusion,Exponence,Flexivity ,Synthesis,Marking,Word order: SVO,Word order: SV,Word order: SO,Adpositions,Case,Area-Dryer,Area-Nichols,Area-Donohue/Hammarström
ngm,"1,5625","23,8",21,14,"1,5",2,3,3,3,NA,2,1,2,2,1,2,1,2,2,1,1,1,Africa
niv,"1,348214286",14,32,6,"5,33333333333333",3,2,1,1,NA,1,1,1,2,3,1,1,1,1,1,3,7,Eurasia
nuu,"2,156862745","20,1",33,6,"5,5",3,1,2,1,NA,1,2,1,2,4,7,2,2,NA,1,4,8,North America
ond,"1,918604651","22,7",9,6,"1,5",3,2,1,2,5,1,2,2,1,3,7,2,2,5,1,4,9,North America
osm,"1,725274725","22,6",23,10,"2,3",1,3,NA,NA,NA,1,2,1,2,1,1,2,2,2,1,4,10,North America
pip,"1,854545455","20,1",14,8,"1,75",NA,1,1,2,1,1,1,1,3,3,7,2,2,2,NA,4,10,North America
pir,"2,193877551","19,4",20,10,2,3,NA,1,2,1,1,1,2,2,1,1,1,1,NA,3,5,11,South America
pwn,"1,968253968","45,8",8,6,"1,333333333333333‬",3,1,3,NA,NA,1,2,1,3,1,NA,NA,NA,NA,1,4,9,North America
qim,"2,104477612","18,1",17,3,"5,66666666666667",2,1,1,3,1,1,2,1,2,2,1,1,1,1,2,5,11,South America
ram,"1,883116883","27,8",17,6,"2,83333333333333",2,1,2,3,1,1,1,2,3,3,1,1,1,1,1,5,11,North America
rtk,"3,336842105","25,4",6,10,"0,6",1,1,2,1,1,1,1,2,2,4,1,1,1,1,1,2,3,Multinesia
sah,"2,964285714","13,2",20,5,4,2,1,1,2,NA,1,1,2,1,3,2,1,2,2,1,2,4,Multinesia
sed,"1,354166667","14,3",41,14,"2,92857142857143",2,1,1,2,5,3,3,3,3,4,2,1,2,2,1,6,4,Eurasia
ski,"1,182926829","7,4",104,14,"7,42857142857143",3,1,2,1,1,NA,NA,NA,NA,NA,2,NA,2,1,NA,3,6,Eurasia
toa,"2,194444444","28,4",8,10,"0,8",1,1,1,2,1,3,3,3,NA,2,NA,NA,NA,1,1,2,2,Multinesia
ttn,"2,114285714","34,2",22,5,"4,4",2,1,1,2,NA,3,3,3,3,4,2,1,2,2,1,6,4,Multinesia
txj,"2,38372093","11,5",18,10,"1,8",NA,1,2,2,NA,2,1,2,3,4,2,1,2,2,1,4,10,North America
wap,"1,939759036","10,8",26,10,"2,6",2,1,3,NA,NA,3,3,3,3,2,NA,1,1,NA,3,4,8,North America
wch,"2,383838384","24,6",21,6,"3,5",2,1,1,1,1,1,2,2,3,3,2,1,2,2,1,5,11,South America
wel,"1,50295858","12,9",24,13,"1,84615384615385",3,1,1,2,NA,1,2,2,2,,3,2,2,2,1,3,6,Eurasia
yay,1,"22,7",26,8,"3,25",2,3,NA,NA,NA,3,3,3,3,4,2,1,2,NA,1,6,4,Eurasia
yir,"1,214285714","19,1",20,6,"3,33333333333333",NA,1,1,1,5,3,3,3,2,2,NA,NA,NA,1,4,2,5,Australia
yko,"2,18556701","24,6",21,12,"1,75",2,1,2,3,2,1,2,2,3,2,1,1,1,1,2,3,7,Eurasia
ynm,"2,752293578","32,4",11,7,"1,571428571428571‬",1,NA,3,3,1,1,2,1,3,3,NA,1,NA,NA,4,5,11,South America
ypk,"2,209459459",29,25,4,"6,25",2,1,2,1,2,,2,,2,3,7,3,3,1,4,4,NA,North America
zqc,"1,74025974","15,1",25,6,"4,166666666666667‬",3,1,1,2,1,1,2,1,3,3,4,2,2,5,4,4,10,North America
